,Address,lat,lng
300,"улица Воронцово поле, дом 15",55.755013,37.655787
302,"Мясницкая ул., д. 24/7, стр. 1",55.762444,37.635593
303,"Пятницкая ул., д. 51",55.735839,37.628316
304,"улица Солянка, дом 12-14, строение 1",55.751199,37.641153
305,"Трубниковский переулок, дом 1/2",55.750626,37.587146
306,"Композиторская улица, дом 17",55.751224,37.586302
307,"улица Земляной вал, дом 48б",55.751634,37.655382
309,"улица Солянка, дом 12-14, строение 3",55.751969,37.63977
310,"Малый Ивановский переулок, дом 11/6, строение 1",55.753483,37.641018
311,"Трубниковский переулок, дом 13, строение 1",55.753529,37.586293
312,"улица Земляной Вал, дом 34, строение 4",55.756194,37.656568
313,"Никитский б-р, д. 25",55.756888,37.598106
314,"Мясницкая ул., д. 26",55.763878,37.637192
315,"улица Земляной вал, дом 30",55.757491,37.657107
316,"Покровский бульвар, напрпаотив дома 3, строение 1",55.756791,37.648528
317,"Колпачный пер., д. 13, стр. 1",55.755788,37.642285
318,"Большой Толмачевский пер., д. 4",55.740887,37.623537
319,"улица Покровка, дом 20/1",55.758676,37.647181
320,"улица Покровка, дом 18/18, строение 3",55.759117,37.646094
321,"улица Покровка, дом 8",55.758797,37.642689
322,"улица Покровка, дом 4а",55.758509,37.641045
323,"улица Покровка, дом 1/13, строение 1",55.758433,37.638961
324,Малый Златоустинский переулок дом 2,55.758017,37.633652
325,"Лучников переулок, дом 7/4, строение 1",55.758878,37.631353
326,"Газетный переулок, дом 17/9",55.75896,37.610619
327,"Мясницкая ул., д. 11",55.761695,37.632664
328,"Малая Никитская улица, дом 4, строение 1",55.758007,37.596785
329,"улица Земляной Вал, дом 50А, строение 2",55.750864,37.654727
330,"Чистопрудный бульвар, дом 23, строение 1",55.760276,37.646804
331,"Ордынка Большая ул., д. 17",55.742291,37.625576
332,"Сверчков переулок, дом 6, строение 1",55.759983,37.639051
333,"Мясницкая улица, дом 10",55.76018,37.631739
334,"Мясницкая улица, дом 6/3, строение 1",55.759826,37.630068
335,"Мясницкая ул., д. 11",55.761695,37.632664
336,Мясницкие Ворота пл.,55.764941,37.63835
337,"улица Земляной Вал, дом 12/7, строение 1",55.761705,37.656622
338,"улица Покровка, дом 41",55.762191,37.65178
339,"улица Чаплыгина, дом 15",55.761918,37.649624
340,"Палашевский Большой пер., д. 1/14, стр. 2",55.763619,37.597055
341,"Кривоколенный переулок, дом 10, строение 5",55.761761,37.635673
342,"Мясницкая улица, дом 20",55.761345,37.632969
343,"улица Рождественка, дом 6/9/20, строение 7",55.761411,37.623834
344,"улица Петровка, дом 5",55.761806,37.617456
345,"Мясницкая ул., д. 11",55.761695,37.632664
346,"улица Малая Бронная, дом 15",55.761325,37.595348
348,Мясницкие Ворота пл.,55.764941,37.63835
349,"Садовая-Черногрязская улица, дом 20",55.764607,37.654861
350,"улица Чаплыгина, дом 9, строение 1",55.762986,37.648079
351,"Чистопрудный бульвар, дом 7/2",55.763234,37.64295
352,"Кривоколенный переулок, дом 9, строение 1",55.762677,37.637156
353,"Мясницкая улица, дом 24",55.762667,37.635206
354,"Милютинский переулок, напротив дома 7а",55.763047,37.631712
355,"Рождественка ул., д. 12",55.763579,37.623798
356,"Ермолаевский переулок, дом 31/13",55.766364,37.594288
357,"Мясницкая улица, дом 44, стр. 2",55.767752,37.643767
359,"Воронцово поле, дом 3 строение 1",55.753306,37.64993
360,"Воронцово поле, дом 3 строение 1",55.753306,37.64993
361,"Воронцово поле, дом 3 строение 1",55.753306,37.64993
362,"Гоголевский бульвар, дом 10",55.746831,37.600513
363,"Гоголевский бульвар, 23",55.747936,37.599058
364,Гоголевский бульвар 10,55.746831,37.600513
365,Гоголевский бульвар 10,55.746831,37.600513
366,"Грузинская Малая улица, дом 15",55.764328,37.571525
367,"Земляной Вал улица, дом 71",55.746679,37.655894
368,"Земляной Вал улица, дом71",55.746679,37.655894
369,"Зубовский бульвар, дом 4 строение 1",55.737355,37.590488
370,"Краснопресненская набережная, дом 18",55.74826,37.543902
371,"улица Крымский Вал, дом 8 корпус 2",55.731982,37.607529
372,"улица Крымский Вал, дом 9 строение 2",55.731744,37.602786
373,"улица Крымский Вал, дом 3",55.729863,37.609604
374,"улица Крымский Вал, дом 3",55.729863,37.609604
375,метро «Кузнецкий мост»,55.761507,37.624516
377,"улица Ленивка, дом 7/6",55.746968,37.60823
378,"Лубянский проезд, дом 27",55.754512,37.635422
379,"Чистопрудный б-р, д. 12, корп. 2",55.760874,37.643498
380,"Большой Кисельный пер., д. 17/15, стр. 1",55.764612,37.629466
381,"Большой Кисельный пер., д. 17/15, стр. 1",55.764612,37.629466
382,"Никитский б-р, д. 10",55.75478,37.601124
383,"Новокузнецкая улица, дом 43/16 строение 1",55.731597,37.636087
384,"Новопушкинский сквер, возле улица Тверская, дом 19 ( в конце сквера)",55.765154,37.603586
385,метро «Новослободская»,55.779565,37.601421
386,"Садовая-Каретная, дом 18",55.772902,37.609892
387,"Садовая-Каретная, дом 18",55.772902,37.609892
388,"Петровско-Разумовский пр-д, д. 24, корп. 1",55.802351,37.566377
389,"Пятницкая улица, дом 69",55.731779,37.627418
392,"улица Россолимо, дом 3, строение 2 (напротив улица Льва Толстого, дом 23)",55.735804,37.584496
393,"улица Россолимо, дом 3, строение 2 (напротив улица Льва Толстого, дом 23)",55.735804,37.584496
